"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_15_a_24_años","Sexo|Total_Grupo_de_edad|De_25_a_64_años","Sexo|Total_Grupo_de_edad|De_65_años_y_más","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_15_a_24_años","Sexo|Hombres_Grupo_de_edad|De_25_a_64_años","Sexo|Hombres_Grupo_de_edad|De_65_años_y_más","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_15_a_24_años","Sexo|Mujeres_Grupo_de_edad|De_25_a_64_años","Sexo|Mujeres_Grupo_de_edad|De_65_años_y_más",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	09,"Ciudad_de_México","2001","3.84817180570583","7.90135587052859","3.01359135082049","0.99990704715365","3.33278014460062","6.14924824421287","2.81507078066279","1.13691395140977","4.62662871747327","10.1877363039844","3.32016444757565","0.70751281499927",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	10,"Durango","2001","3.32905067290962","6.19608855342051","2.40247240897216","1.25439966125916","3.08046967371465","5.71986280211762","2.24531544386022","1.50013838915029","3.83692648558117","7.0998291876813","2.7191058080783","0.29084910574753",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	11,"Guanajuato","2001","2.92343227596204","5.56025033785618","1.8593392614967","0.71060008212966","2.81884389786529","5.55971137682451","1.89012631335564","0.43867900719048","3.10512416116784","5.56098468984131","1.80159513289632","1.66457387552722",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	12,"Guerrero","2001","0.47332418535105","0.97157302882994","0.36914747507428","0.02930567263755","0.40206761971584","0.94877669265234","0.27060886510381","0.03776505473602","0.62491982600786","1.02788142860454","0.56282981655917","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	13,"Hidalgo","2001","2.49113398242195","6.92568397888101","1.2558100795479","0","1.45293404667609","2.94958276095381","1.1294817969845","0","4.36454671354","13.2698026360987","1.48633178746088","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	14,"Jalisco","2001","2.50604391183514","4.70939262550745","1.61644362731163","1.03707786752253","2.38114742347848","4.54723580232412","1.50206930094834","1.42044762670174","2.70346951073161","4.95343581365791","1.79573912814857","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	15,"México","2001","3.63335068663652","7.85580298831848","2.37727041419619","1.03711771638258","3.07155866230037","6.35733729970287","2.10211105595478","1.31872116594436","4.74555793175492","10.7414597837086","2.91547572189101","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	16,"Michoacán_de_Ocampo","2001","2.07417591299802","4.27544366684979","1.3287905035581","0.3511666063134","1.93180134176942","3.68418539475448","1.3782413266556","0.46792996836782","2.35068178015523","5.37483309827652","1.2353692652547","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	17,"Morelos","2001","1.42289527571935","3.13955113935757","0.94762017005766","0.31081837358474","1.06592343346886","2.37631854957403","0.70220768074367","0.43887375996888","2.06181160307672","4.42329415723316","1.38715950809992","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	18,"Nayarit","2001","2.36687897091197","4.60232851732361","1.72381475616456","1.27939854185399","1.8870339839552","3.55973149654286","1.35568179453566","1.53276487770336","3.19232251407829","6.45472887178568","2.32760533096705","0.57904824042735",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	19,"Nuevo_León","2001","3.45244134140391","7.5165098333293","2.15971546100165","0.36134296107543","2.77358905125363","6.06399549443993","1.85254804936186","0.47549640390911","4.84892470288633","9.82903973188113","2.84369423602004","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	20,"Oaxaca","2001","1.07677279157978","2.33836246550138","0.81064683684994","0.13873053764207","0.92852312113073","1.57737906716497","0.8456065271764","0.0115259411554","1.38795070162246","4.08992054042233","0.74075940860215","0.45760872111638",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	21,"Puebla","2001","1.81209310467304","3.26167274144255","1.44892457244961","0.05251177717647","1.44705722756093","2.32410379066144","1.28155227348412","0","2.4840740621613","4.90656306511397","1.75161524843815","0.20386501103567",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	22,"Querétaro","2001","2.21608401207201","3.75504533074157","1.72577435321733","0.2380736734509","2.09246833043842","3.65071240670865","1.68621212536782","0.18400392541708","2.42670130571207","3.88846816882756","1.79962405740073","0.39064431587796",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	23,"Quintana_Roo","2001","1.41556382190722","2.59477100237016","1.07317395324264","0","1.34271742345276","2.69922148000065","0.95789540586359","0","1.59165739221779","2.35833003743527","1.35155028925995","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	24,"San_Luis_Potosí","2001","1.86930731561614","3.86993484980167","1.36136807150779","0.45188929598306","1.64916123856587","3.22662441856455","1.29656715522353","0.35367774408529","2.29327692114287","5.03501179305936","1.48180925348328","0.82227107465968",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	25,"Sinaloa","2001","4.08694501298646","7.35657091817755","3.06543185744112","1.65023872326812","3.28037346258543","5.51826158232146","2.59752656381441","2.07686055256341","5.67217313757725","10.6154657955235","3.98876670464149","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	26,"Sonora","2001","5.17909336342552","9.96973662501215","3.78560171876601","0.62006668481219","4.73370859265102","8.00856865929214","3.90516184382826","0.78063092968968","5.99936144775796","13.1891685348984","3.56293435627403","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	27,"Tabasco","2001","3.39967385185979","6.13599989971125","2.57063051218576","0.75979017193697","3.03173222744425","5.0469177243398","2.44856992405206","0.91451857467779","4.24606858298532","8.60381856146592","2.84419801980198","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	28,"Tamaulipas","2001","3.48588669905418","6.83354845844284","2.4467239570364","1.13734619221816","2.99528151243203","5.79515321909696","2.18477405332024","1.15077100916615","4.4378123098932","8.62001292672895","2.95877407345326","1.07781282860147",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	29,"Tlaxcala","2001","3.10332830655425","6.25704526254026","2.18276534901721","0.07905138339921","2.12519027316031","4.0628561819167","1.6141756600447","0.10339637458282","5.04153919165052","10.3589442651353","3.28813254047741","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	30,"Veracruz_de_Ignacio_de_la_Llave","2001","2.13056360229769","4.02684015271591","1.69817578139595","0.40123329341647","1.72723413433441","2.72927723920858","1.5409662918756","0.48101516476626","3.10425386378201","7.13759062162579","2.0605875944667","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	31,"Yucatán","2001","1.73341458038921","3.41449765632188","1.20552350710406","0.080159496845","1.46956603799021","2.94099168153603","1.03895634007985","0","2.15752320392759","4.13017260753548","1.47122294937166","0.28717999067279",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	32,"Zacatecas","2001","2.47218235984315","4.7944114011551","1.82878475088342","0.38412479657513","2.04870152371712","3.53116777426218","1.77469145161779","0.46138132638326","3.29731276484924","6.61283798336809","1.93786030676062","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	00,"Estados_Unidos_Mexicanos","2000","2.57464078220002","5.06230542973661","1.7828233130782","0.66873553236017","2.12477297447517","4.17335442039388","1.49614067673087","0.76138366465131","3.42697722426628","6.61244676943937","2.32645558203557","0.36528031141739",
